"","id","Condition","category"
"1","A6NGB9","ParentalAT26533","NC"
"2","O00221","ParentalAT26533","CN"
"3","O00221","ParentalTNFa","CN"
"4","O00418","ParentalAT26533","CN"
"5","O00422","ParentalAT26533","CC"
"6","O14950","ParentalAT26533","NC"
"7","O14979","ParentalAT26533","CC"
"8","O15042","ParentalAT26533","NC"
"9","O15078","ParentalAT26533","CN"
"10","O15446-2","ParentalAT26533","NC"
"11","O60313-2","ParentalAT26533","NC"
"12","O75113","ParentalAT26533","NC"
"13","O75340","ParentalAT26533","NC"
"14","O75446","ParentalAT26533","NC"
"15","O75822","ParentalAT26533","NC"
"16","O75843","ParentalAT26533","NC"
"17","O75915","ParentalAT26533","NC"
"18","O94888","ParentalAT26533","NC"
"19","O95197","ParentalAT26533","NC"
"20","O95782","ParentalAT26533","NC"
"21","O95831","ParentalAT26533","NC"
"22","O96017-9","ParentalAT26533","NC"
"23","P00367","ParentalAT26533","NC"
"24","P00367","ParentalTNFa","NC"
"25","P01033","ParentalAT26533","NC"
"26","P01033","ParentalTNFa","NC"
"27","P01584","ParentalAT26533","CN"
"28","P02545","ParentalAT26533","CC"
"29","P05362","ParentalAT26533","CC"
"30","P05362","ParentalTNFa","CC"
"31","P06748","ParentalAT26533","CN"
"32","P06748","ParentalTNFa","NC"
"33","P07305","ParentalAT26533","NC"
"34","P07910-2","ParentalAT26533","CN"
"35","P08621","ParentalAT26533","NC"
"36","P09874","ParentalAT26533","NC"
"37","P09884","ParentalAT26533","NC"
"38","P09960","ParentalAT26533","NC"
"39","P11309","ParentalAT26533","CN"
"40","P11309","ParentalTNFa","CN"
"41","P11908-2","ParentalAT26533","NC"
"42","P12532-2","ParentalAT26533","ND"
"43","P13010","ParentalAT26533","CN"
"44","P13667","ParentalAT26533","NC"
"45","P13807","ParentalAT26533","NC"
"46","P13994","ParentalAT26533","ND"
"47","P16402","ParentalAT26533","ND"
"48","P16930-2","ParentalAT26533","NC"
"49","P17096","ParentalAT26533","ND"
"50","P17275","ParentalAT26533","CC"
"51","P17275","ParentalTNFa","CC"
"52","P17535","ParentalTNFa","NC"
"53","P19838-2","ParentalAT26533","CN"
"54","P19838-2","ParentalTNFa","CN"
"55","P20226","ParentalAT26533","NC"
"56","P20700","ParentalAT26533","CC"
"57","P20700","ParentalTNFa","NC"
"58","P21127","ParentalAT26533","NC"
"59","P22626","ParentalAT26533","CN"
"60","P23284","ParentalAT26533","NC"
"61","P23528","ParentalAT26533","NC"
"62","P23919","ParentalAT26533","NC"
"63","P26599-3","ParentalAT26533","NC"
"64","P27824-2","ParentalAT26533","NC"
